Agent,Scenario,Lambda,Epsilon,FCS_Mean,FCS_Std,FCS_Variance,FCS_Min,FCS_Max,Num_Runs,Num_States
DQN,EASY,0.5,0.005,0.9966397849462364,1.1102230246251565e-16,1.232595164407831e-32,0.9966397849462365,0.9966397849462365,5,496
DQN,EASY,1.0,0.01,0.9885752688172043,0.0,0.0,0.9885752688172043,0.9885752688172043,5,496
DQN,EASY,1.5,0.015,0.9811827956989246,0.0,0.0,0.9811827956989246,0.9811827956989246,5,496
DQN,EASY,2.0,0.02,0.967741935483871,0.0,0.0,0.967741935483871,0.967741935483871,5,496
DQN,MEDIUM,0.5,0.005,0.9872311827956988,1.1102230246251565e-16,1.232595164407831e-32,0.9872311827956989,0.9872311827956989,5,496
DQN,MEDIUM,1.0,0.01,0.9711021505376344,0.0,0.0,0.9711021505376344,0.9711021505376344,5,496
DQN,MEDIUM,1.5,0.015,0.9576612903225806,0.0,0.0,0.9576612903225806,0.9576612903225806,5,496
DQN,MEDIUM,2.0,0.02,0.9509408602150536,0.0,0.0,0.9509408602150536,0.9509408602150536,5,496
DQN,HARD,0.5,0.005,0.9899193548387096,0.0,0.0,0.9899193548387096,0.9899193548387096,5,496
DQN,HARD,1.0,0.01,0.9818548387096774,0.0,0.0,0.9818548387096774,0.9818548387096774,5,496
DQN,HARD,1.5,0.015,0.9758064516129032,0.0,0.0,0.9758064516129032,0.9758064516129032,5,496
DQN,HARD,2.0,0.02,0.9711021505376344,0.0,0.0,0.9711021505376344,0.9711021505376344,5,496
A2C_mod,EASY,0.5,0.005,0.9926075268817204,0.0007361862332058474,5.419701699618144e-07,0.991263440860215,0.993279569892473,5,496
A2C_mod,EASY,1.0,0.01,0.9709677419354839,0.0008915658038589709,7.94889582610693e-07,0.969758064516129,0.9724462365591398,5,496
A2C_mod,EASY,1.5,0.015,0.944758064516129,0.000783730093393181,6.142328592900843e-07,0.9435483870967742,0.9455645161290323,5,496
A2C_mod,EASY,2.0,0.02,0.9174731182795698,0.0006584649846191106,4.335761359694456e-07,0.9166666666666666,0.9186827956989246,5,496
A2C_mod,MEDIUM,0.5,0.005,0.9810483870967742,0.0007837300933931658,6.142328592900604e-07,0.9798387096774194,0.9818548387096774,5,496
A2C_mod,MEDIUM,1.0,0.01,0.9540322580645162,0.0003292324923095395,1.0839403399235096e-07,0.9536290322580645,0.9543010752688171,5,496
A2C_mod,MEDIUM,1.5,0.015,0.9405913978494624,0.0003292324923095395,1.0839403399235096e-07,0.9401881720430108,0.9408602150537634,5,496
A2C_mod,MEDIUM,2.0,0.02,0.911021505376344,0.0012464540988569267,1.5536478205572334e-06,0.9086021505376344,0.9119623655913978,5,496
A2C_mod,HARD,0.5,0.005,0.9844086021505376,0.0005029109390825245,2.5291941264886663e-07,0.9838709677419355,0.9852150537634409,5,496
A2C_mod,HARD,1.0,0.01,0.9720430107526882,0.0009116034923555493,8.31020927274834e-07,0.9704301075268816,0.9731182795698924,5,496
A2C_mod,HARD,1.5,0.015,0.959005376344086,0.0011245430464167539,1.2645970632442735e-06,0.9576612903225806,0.961021505376344,5,496
A2C_mod,HARD,2.0,0.02,0.9034946236559138,0.0003292324923095576,1.0839403399236291e-07,0.9032258064516128,0.9038978494623655,5,496
