agent,scenario,xai_config,lambda,OCS,FCS,CAS,Stability,MSX_size_mean
DQN,EASY,RDX_only,0.5,1.0,,,0.48484848484848475,1.9954545454545454
DQN,EASY,RDX_only,1.0,1.0,,,0.48484848484848475,3.4545454545454546
DQN,EASY,RDX_only,1.5,1.0,,,0.48484848484848475,3.9954545454545456
DQN,EASY,RDX_only,2.0,1.0,,,0.48484848484848475,4.0
DQN,EASY,SHAP_only,0.5,,1.0,,,
DQN,EASY,SHAP_only,1.0,,1.0,,,
DQN,EASY,SHAP_only,1.5,,1.0,,,
DQN,EASY,SHAP_only,2.0,,1.0,,,
DQN,EASY,Combined,0.5,1.0,1.0,0.75,0.48484848484848475,1.9954545454545454
DQN,EASY,Combined,1.0,1.0,1.0,0.75,0.48484848484848475,3.4545454545454546
DQN,EASY,Combined,1.5,1.0,1.0,0.75,0.48484848484848475,3.9954545454545456
DQN,EASY,Combined,2.0,1.0,1.0,0.75,0.48484848484848475,4.0
DQN,MEDIUM,RDX_only,0.5,1.0,,,0.5166666666666666,2.0
DQN,MEDIUM,RDX_only,1.0,1.0,,,0.5166666666666666,3.55
DQN,MEDIUM,RDX_only,1.5,1.0,,,0.5166666666666666,4.0
DQN,MEDIUM,RDX_only,2.0,1.0,,,0.5166666666666666,4.0
DQN,MEDIUM,SHAP_only,0.5,,1.0,,,
DQN,MEDIUM,SHAP_only,1.0,,1.0,,,
DQN,MEDIUM,SHAP_only,1.5,,1.0,,,
DQN,MEDIUM,SHAP_only,2.0,,1.0,,,
DQN,MEDIUM,Combined,0.5,1.0,1.0,0.75,0.5166666666666666,2.0
DQN,MEDIUM,Combined,1.0,1.0,1.0,0.75,0.5166666666666666,3.55
DQN,MEDIUM,Combined,1.5,1.0,1.0,0.75,0.5166666666666666,4.0
DQN,MEDIUM,Combined,2.0,1.0,1.0,0.75,0.5166666666666666,4.0
DQN,HARD,RDX_only,0.5,1.0,,,0.5772727272727274,2.0
DQN,HARD,RDX_only,1.0,1.0,,,0.5772727272727274,3.731818181818182
DQN,HARD,RDX_only,1.5,1.0,,,0.5772727272727274,4.0
DQN,HARD,RDX_only,2.0,1.0,,,0.5772727272727274,4.0
DQN,HARD,SHAP_only,0.5,,1.0,,,
DQN,HARD,SHAP_only,1.0,,1.0,,,
DQN,HARD,SHAP_only,1.5,,1.0,,,
DQN,HARD,SHAP_only,2.0,,1.0,,,
DQN,HARD,Combined,0.5,1.0,1.0,0.75,0.5772727272727274,2.0
DQN,HARD,Combined,1.0,1.0,1.0,0.75,0.5772727272727274,3.731818181818182
DQN,HARD,Combined,1.5,1.0,1.0,0.75,0.5772727272727274,4.0
DQN,HARD,Combined,2.0,1.0,1.0,0.75,0.5772727272727274,4.0
A2C_mod,EASY,RDX_only,0.5,0.0,,,1.0,4.0
A2C_mod,EASY,RDX_only,1.0,0.0,,,1.0,4.0
A2C_mod,EASY,RDX_only,1.5,0.0,,,1.0,4.0
A2C_mod,EASY,RDX_only,2.0,0.0,,,1.0,4.0
A2C_mod,EASY,SHAP_only,0.5,,0.0,,,
A2C_mod,EASY,SHAP_only,1.0,,0.0,,,
A2C_mod,EASY,SHAP_only,1.5,,0.0,,,
A2C_mod,EASY,SHAP_only,2.0,,0.0,,,
A2C_mod,EASY,Combined,0.5,0.0,0.0,0.0,1.0,4.0
A2C_mod,EASY,Combined,1.0,0.0,0.0,0.0,1.0,4.0
A2C_mod,EASY,Combined,1.5,0.0,0.0,0.0,1.0,4.0
A2C_mod,EASY,Combined,2.0,0.0,0.0,0.0,1.0,4.0
A2C_mod,MEDIUM,RDX_only,0.5,0.0,,,1.0,4.0
A2C_mod,MEDIUM,RDX_only,1.0,0.0,,,1.0,4.0
A2C_mod,MEDIUM,RDX_only,1.5,0.0,,,1.0,4.0
A2C_mod,MEDIUM,RDX_only,2.0,0.0,,,1.0,4.0
A2C_mod,MEDIUM,SHAP_only,0.5,,0.0,,,
A2C_mod,MEDIUM,SHAP_only,1.0,,0.0,,,
A2C_mod,MEDIUM,SHAP_only,1.5,,0.0,,,
A2C_mod,MEDIUM,SHAP_only,2.0,,0.0,,,
A2C_mod,MEDIUM,Combined,0.5,0.0,0.0,0.0,1.0,4.0
A2C_mod,MEDIUM,Combined,1.0,0.0,0.0,0.0,1.0,4.0
A2C_mod,MEDIUM,Combined,1.5,0.0,0.0,0.0,1.0,4.0
A2C_mod,MEDIUM,Combined,2.0,0.0,0.0,0.0,1.0,4.0
A2C_mod,HARD,RDX_only,0.5,0.0,,,1.0,4.0
A2C_mod,HARD,RDX_only,1.0,0.0,,,1.0,4.0
A2C_mod,HARD,RDX_only,1.5,0.0,,,1.0,4.0
A2C_mod,HARD,RDX_only,2.0,0.0,,,1.0,4.0
A2C_mod,HARD,SHAP_only,0.5,,0.0,,,
A2C_mod,HARD,SHAP_only,1.0,,0.0,,,
A2C_mod,HARD,SHAP_only,1.5,,0.0,,,
A2C_mod,HARD,SHAP_only,2.0,,0.0,,,
A2C_mod,HARD,Combined,0.5,0.0,0.0,0.0,1.0,4.0
A2C_mod,HARD,Combined,1.0,0.0,0.0,0.0,1.0,4.0
A2C_mod,HARD,Combined,1.5,0.0,0.0,0.0,1.0,4.0
A2C_mod,HARD,Combined,2.0,0.0,0.0,0.0,1.0,4.0
