agent,scenario,xai_config,lambda,OCS,FCS,CAS,MSX_size_mean,Stability
DQN,EASY,RDX_only,0.5,0.5,,,1.0021103896103898,0.6326028138528138
DQN,EASY,RDX_only,1.0,0.5,,,1.4198051948051946,0.6326028138528138
DQN,EASY,RDX_only,1.5,0.5,,,3.483198051948052,0.6326028138528138
DQN,EASY,RDX_only,2.0,0.5,,,3.6890422077922085,0.6326028138528138
DQN,EASY,SHAP_only,0.5,,1.0,,,
DQN,EASY,SHAP_only,1.0,,1.0,,,
DQN,EASY,SHAP_only,1.5,,1.0,,,
DQN,EASY,SHAP_only,2.0,,1.0,,,
DQN,EASY,Combined,0.5,0.5,1.0,0.25,1.0021103896103898,0.6326028138528138
DQN,EASY,Combined,1.0,0.5,1.0,0.25,1.4198051948051946,0.6326028138528138
DQN,EASY,Combined,1.5,0.5,1.0,0.25,3.483198051948052,0.6326028138528138
DQN,EASY,Combined,2.0,0.5,1.0,0.25,3.6890422077922085,0.6326028138528138
DQN,MEDIUM,RDX_only,0.5,0.5,,,1.0086038961038961,0.6465097402597403
DQN,MEDIUM,RDX_only,1.0,0.5,,,1.4021103896103895,0.6465097402597403
DQN,MEDIUM,RDX_only,1.5,0.5,,,3.3368506493506493,0.6465097402597403
DQN,MEDIUM,RDX_only,2.0,0.5,,,3.5568993506493505,0.6465097402597403
DQN,MEDIUM,SHAP_only,0.5,,1.0,,,
DQN,MEDIUM,SHAP_only,1.0,,1.0,,,
DQN,MEDIUM,SHAP_only,1.5,,1.0,,,
DQN,MEDIUM,SHAP_only,2.0,,1.0,,,
DQN,MEDIUM,Combined,0.5,0.5,1.0,0.25,1.0086038961038961,0.6465097402597403
DQN,MEDIUM,Combined,1.0,0.5,1.0,0.25,1.4021103896103895,0.6465097402597403
DQN,MEDIUM,Combined,1.5,0.5,1.0,0.25,3.3368506493506493,0.6465097402597403
DQN,MEDIUM,Combined,2.0,0.5,1.0,0.25,3.5568993506493505,0.6465097402597403
DQN,HARD,RDX_only,0.5,0.75,,,1.0129870129870129,0.6317911255411256
DQN,HARD,RDX_only,1.0,0.75,,,1.4661525974025973,0.6317911255411256
DQN,HARD,RDX_only,1.5,0.75,,,3.4516233766233766,0.6317911255411256
DQN,HARD,RDX_only,2.0,0.75,,,3.6612012987012994,0.6317911255411256
DQN,HARD,SHAP_only,0.5,,1.0,,,
DQN,HARD,SHAP_only,1.0,,1.0,,,
DQN,HARD,SHAP_only,1.5,,1.0,,,
DQN,HARD,SHAP_only,2.0,,1.0,,,
DQN,HARD,Combined,0.5,0.75,1.0,0.5,1.0129870129870129,0.6317911255411256
DQN,HARD,Combined,1.0,0.75,1.0,0.5,1.4661525974025973,0.6317911255411256
DQN,HARD,Combined,1.5,0.75,1.0,0.5,3.4516233766233766,0.6317911255411256
DQN,HARD,Combined,2.0,0.75,1.0,0.5,3.6612012987012994,0.6317911255411256
A2C_mod,EASY,RDX_only,0.5,0.25,,,1.0,0.6637987012987013
A2C_mod,EASY,RDX_only,1.0,0.25,,,1.8892857142857142,0.6637987012987013
A2C_mod,EASY,RDX_only,1.5,0.25,,,3.761038961038961,0.6637987012987013
A2C_mod,EASY,RDX_only,2.0,0.25,,,3.788230519480519,0.6637987012987013
A2C_mod,EASY,SHAP_only,0.5,,0.0,,,
A2C_mod,EASY,SHAP_only,1.0,,0.0,,,
A2C_mod,EASY,SHAP_only,1.5,,0.0,,,
A2C_mod,EASY,SHAP_only,2.0,,0.0,,,
A2C_mod,EASY,Combined,0.5,0.25,0.0,0.0,1.0,0.6637987012987013
A2C_mod,EASY,Combined,1.0,0.25,0.0,0.0,1.8892857142857142,0.6637987012987013
A2C_mod,EASY,Combined,1.5,0.25,0.0,0.0,3.761038961038961,0.6637987012987013
A2C_mod,EASY,Combined,2.0,0.25,0.0,0.0,3.788230519480519,0.6637987012987013
A2C_mod,MEDIUM,RDX_only,0.5,0.5,,,1.0001623376623376,0.6331980519480519
A2C_mod,MEDIUM,RDX_only,1.0,0.5,,,1.4049512987012986,0.6331980519480519
A2C_mod,MEDIUM,RDX_only,1.5,0.5,,,3.788392857142857,0.6331980519480519
A2C_mod,MEDIUM,RDX_only,2.0,0.5,,,3.8656655844155843,0.6331980519480519
A2C_mod,MEDIUM,SHAP_only,0.5,,0.0,,,
A2C_mod,MEDIUM,SHAP_only,1.0,,0.0,,,
A2C_mod,MEDIUM,SHAP_only,1.5,,0.0,,,
A2C_mod,MEDIUM,SHAP_only,2.0,,0.0,,,
A2C_mod,MEDIUM,Combined,0.5,0.5,0.0,0.0,1.0001623376623376,0.6331980519480519
A2C_mod,MEDIUM,Combined,1.0,0.5,0.0,0.0,1.4049512987012986,0.6331980519480519
A2C_mod,MEDIUM,Combined,1.5,0.5,0.0,0.0,3.788392857142857,0.6331980519480519
A2C_mod,MEDIUM,Combined,2.0,0.5,0.0,0.0,3.8656655844155843,0.6331980519480519
A2C_mod,HARD,RDX_only,0.5,0.5,,,1.0001623376623376,0.6444264069264071
A2C_mod,HARD,RDX_only,1.0,0.5,,,1.4060064935064938,0.6444264069264071
A2C_mod,HARD,RDX_only,1.5,0.5,,,3.8888798701298697,0.6444264069264071
A2C_mod,HARD,RDX_only,2.0,0.5,,,3.9135551948051948,0.6444264069264071
A2C_mod,HARD,SHAP_only,0.5,,0.0,,,
A2C_mod,HARD,SHAP_only,1.0,,0.0,,,
A2C_mod,HARD,SHAP_only,1.5,,0.0,,,
A2C_mod,HARD,SHAP_only,2.0,,0.0,,,
A2C_mod,HARD,Combined,0.5,0.5,0.0,0.0,1.0001623376623376,0.6444264069264071
A2C_mod,HARD,Combined,1.0,0.5,0.0,0.0,1.4060064935064938,0.6444264069264071
A2C_mod,HARD,Combined,1.5,0.5,0.0,0.0,3.8888798701298697,0.6444264069264071
A2C_mod,HARD,Combined,2.0,0.5,0.0,0.0,3.9135551948051948,0.6444264069264071
