agent,scenario,component,w_label,lambda,mean_rdx,msx_inclusion
DQN,EASY,stockout,$w_s$ (service),0.5,0.0,0.0
DQN,EASY,stockout,$w_s$ (service),1.0,0.0,0.0
DQN,EASY,stockout,$w_s$ (service),1.5,0.0,0.0
DQN,EASY,stockout,$w_s$ (service),2.0,0.0,0.0
DQN,EASY,overstock,$w_h$ (holding),0.5,0.004036616185655842,0.11363636363636363
DQN,EASY,overstock,$w_h$ (holding),1.0,0.008073232371311684,0.12272727272727273
DQN,EASY,overstock,$w_h$ (holding),1.5,0.012109848556967524,0.12272727272727273
DQN,EASY,overstock,$w_h$ (holding),2.0,0.01614646474262337,0.12272727272727273
DQN,EASY,waste,$w_w$ (Waste),0.5,0.0003509511075445615,0.0
DQN,EASY,waste,$w_w$ (Waste),1.0,0.000701902215089123,0.0
DQN,EASY,waste,$w_w$ (Waste),1.5,0.0010528533226336846,0.00909090909090909
DQN,EASY,waste,$w_w$ (Waste),2.0,0.001403804430178246,0.00909090909090909
DQN,EASY,quantile,$w_o$ (order),0.5,0.031564487866527755,1.0
DQN,EASY,quantile,$w_o$ (order),1.0,0.06312897573305551,1.0
DQN,EASY,quantile,$w_o$ (order),1.5,0.09469346359958328,1.0
DQN,EASY,quantile,$w_o$ (order),2.0,0.12625795146611102,1.0
DQN,MEDIUM,stockout,$w_s$ (service),0.5,0.0,0.0
DQN,MEDIUM,stockout,$w_s$ (service),1.0,0.0,0.0
DQN,MEDIUM,stockout,$w_s$ (service),1.5,0.0,0.0
DQN,MEDIUM,stockout,$w_s$ (service),2.0,0.0,0.0
DQN,MEDIUM,overstock,$w_h$ (holding),0.5,0.006001391561774465,0.4090909090909091
DQN,MEDIUM,overstock,$w_h$ (holding),1.0,0.01200278312354893,0.5272727272727272
DQN,MEDIUM,overstock,$w_h$ (holding),1.5,0.018004174685323393,0.5272727272727272
DQN,MEDIUM,overstock,$w_h$ (holding),2.0,0.02400556624709786,0.5272727272727272
DQN,MEDIUM,waste,$w_w$ (Waste),0.5,0.0022175645456597596,0.0
DQN,MEDIUM,waste,$w_w$ (Waste),1.0,0.004435129091319519,0.0
DQN,MEDIUM,waste,$w_w$ (Waste),1.5,0.006652693636979279,0.05
DQN,MEDIUM,waste,$w_w$ (Waste),2.0,0.008870258182639038,0.11818181818181818
