agent,scenario,component,w_label,lambda,mean_rdx,msx_inclusion
DQN,EASY,stockout,$w_s$ (service),0.5,0.0,0.0
DQN,EASY,stockout,$w_s$ (service),1.0,0.0,0.0
DQN,EASY,stockout,$w_s$ (service),1.5,0.0,0.0
DQN,EASY,stockout,$w_s$ (service),2.0,0.0,0.0
DQN,EASY,overstock,$w_h$ (holding),0.5,0.004002307640848222,0.11818181818181818
DQN,EASY,overstock,$w_h$ (holding),1.0,0.008004615281696444,0.1318181818181818
DQN,EASY,overstock,$w_h$ (holding),1.5,0.012006922922544665,0.1318181818181818
DQN,EASY,overstock,$w_h$ (holding),2.0,0.016009230563392887,0.1318181818181818
DQN,EASY,waste,$w_w$ (Waste),0.5,0.00035238957513597524,0.0
DQN,EASY,waste,$w_w$ (Waste),1.0,0.0007047791502719505,0.0
DQN,EASY,waste,$w_w$ (Waste),1.5,0.0010571687254079256,0.013636363636363636
DQN,EASY,waste,$w_w$ (Waste),2.0,0.001409558300543901,0.013636363636363636
DQN,EASY,quantile,$w_o$ (order),0.5,0.03137531417636795,1.0
DQN,EASY,quantile,$w_o$ (order),1.0,0.0627506283527359,1.0
DQN,EASY,quantile,$w_o$ (order),1.5,0.09412594252910386,1.0
DQN,EASY,quantile,$w_o$ (order),2.0,0.1255012567054718,1.0
DQN,MEDIUM,stockout,$w_s$ (service),0.5,0.0,0.0
DQN,MEDIUM,stockout,$w_s$ (service),1.0,0.0,0.0
DQN,MEDIUM,stockout,$w_s$ (service),1.5,0.0,0.0
DQN,MEDIUM,stockout,$w_s$ (service),2.0,0.0,0.0
DQN,MEDIUM,overstock,$w_h$ (holding),0.5,0.00607232740269853,0.41363636363636364
DQN,MEDIUM,overstock,$w_h$ (holding),1.0,0.01214465480539706,0.5363636363636364
DQN,MEDIUM,overstock,$w_h$ (holding),1.5,0.018216982208095586,0.5363636363636364
DQN,MEDIUM,overstock,$w_h$ (holding),2.0,0.02428930961079412,0.5363636363636364
DQN,MEDIUM,waste,$w_w$ (Waste),0.5,0.002221452802016172,0.0
DQN,MEDIUM,waste,$w_w$ (Waste),1.0,0.004442905604032344,0.0
DQN,MEDIUM,waste,$w_w$ (Waste),1.5,0.006664358406048516,0.06818181818181818
DQN,MEDIUM,waste,$w_w$ (Waste),2.0,0.008885811208064687,0.12272727272727273
